epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1119.09,1.75442,3.58844,0.00175,0.64342,0.56677,0.54368,0.41323,1.63867,2.42488,0.00156,0.00749286,0.00249762,0.00749286,0.00249762,0.00749286,0.00249762,0.00749286,0.00249762
2,1952.64,1.34257,1.52498,0.00122,0.62486,0.70857,0.67817,0.51163,1.52666,1.97135,0.00142,0.0149871,0.00499571,0.0149871,0.00499571,0.0149871,0.00499571,0.0149871,0.00499571
3,2708.45,1.33885,1.16841,0.00122,0.63338,0.75838,0.70405,0.52864,1.42218,1.60574,0.00135,0.0224585,0.00748618,0.0224585,0.00748618,0.0224585,0.00748618,0.0224585,0.00748618
4,3419.58,1.3797,0.9809,0.00127,0.66157,0.77396,0.71137,0.53359,1.4185,1.36073,0.00129,0.0298899,0.00996332,0.0298899,0.00996332,0.0298899,0.00996332,0.0298899,0.00996332
5,4123.82,1.34802,0.86493,0.00124,0.65852,0.82383,0.72519,0.56363,1.18761,1.21399,0.00115,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,4828.7,1.27966,0.7956,0.00116,0.69431,0.83251,0.74289,0.57846,1.10093,1.08345,0.00102,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,5598.12,1.2284,0.75508,0.00111,0.67491,0.83238,0.74344,0.58467,0.99526,1.1179,0.0009,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,6319.43,1.21081,0.73799,0.0011,0.68194,0.83112,0.7486,0.5936,0.94767,1.01046,0.00095,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,7031.77,1.18759,0.71038,0.00108,0.70201,0.84836,0.75352,0.60762,0.92565,1.01313,0.00091,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,7770.51,1.1828,0.71013,0.00105,0.70262,0.8559,0.75329,0.59626,0.94803,0.98913,0.00089,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
11,8476.18,1.16173,0.69555,0.00103,0.7184,0.85514,0.75403,0.61054,0.91918,0.94928,0.00086,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
12,9188.64,1.153,0.69235,0.00102,0.71159,0.85969,0.75535,0.60802,0.89602,0.95238,0.00085,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
13,9932.19,1.1429,0.67912,0.00101,0.70428,0.87133,0.75468,0.61167,0.91874,0.98119,0.00084,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
